date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,41.4,36.4,46.3,21.71
,41.7,35.4,48.0,17.07
,50.4,40.7,60.2,5.32
,56.9,47.9,65.9,7.01
,63.1,52.5,73.8,5.03
,58.6,48.1,69.2,0.74
,56.3,46.5,66.1,1.90
,48.8,40.0,57.7,6.77
,47.7,37.7,57.6,1.82
,41.6,34.6,48.5,12.60
,44.0,36.3,51.6,7.32
,37.2,29.6,44.8,2.93
,40.4,34.0,46.8,4.93
,45.3,36.3,54.2,3.07
,51.8,42.0,61.6,3.32
,60.2,50.5,69.9,1.73
,59.6,50.8,68.3,3.04
,59.6,48.8,70.4,2.52
,53.9,44.4,63.4,1.53
,51.2,40.9,61.4,2.92
,45.7,36.4,54.9,4.38
,40.5,32.9,48.1,9.89
,39.8,32.9,46.7,12.31
,40.7,34.5,46.8,16.63
,40.9,35.9,46.0,20.32
,42.5,36.4,48.5,14.57
,50.0,44.1,55.8,14.55
,59.7,47.2,72.1,0.11
,59.2,50.3,68.1,3.62
,60.6,50.2,70.8,0.41
,54.2,45.4,63.1,2.30
,51.0,40.9,61.1,3.73
,42.7,33.2,52.1,4.44
,40.7,32.6,48.8,8.45
,39.5,33.2,45.8,11.19
,39.3,34.4,44.2,20.32
,41.8,36.4,47.2,17.55
,44.7,37.9,51.5,12.63
,50.5,38.8,62.2,2.11
,61.5,47.8,75.2,0.71
,61.1,50.7,71.4,0.47
,58.9,47.9,69.8,4.48
,55.1,44.9,65.3,3.02
,49.2,40.6,57.8,5.35
,46.3,38.2,54.4,7.20
,42.6,35.4,49.8,13.61
,40.0,34.6,45.5,12.59
,36.1,30.3,42.0,17.99
,42.5,37.5,47.5,21.08
,41.1,35.4,46.8,22.07
,50.1,41.9,58.3,7.16
,58.6,47.4,69.8,6.17
,57.9,47.6,68.2,0.73
,59.8,48.6,71.0,0.17
,55.7,46.6,64.7,4.42
,51.8,41.1,62.5,4.14
,47.0,37.5,56.5,3.38
,42.7,35.1,50.3,7.88
,42.7,34.2,51.1,3.26
,37.6,32.0,43.2,9.57
,36.1,31.2,41.0,19.11
,44.4,37.9,50.9,8.51
,49.7,39.2,60.3,2.13
,56.0,45.1,66.9,5.77
,62.0,49.8,74.1,0.46
,61.7,50.0,73.3,1.66
,56.1,46.5,65.8,1.21
,52.7,42.6,62.9,1.58
,43.5,34.8,52.2,9.50
,44.2,37.2,51.3,13.67
,40.3,33.6,46.9,13.94
,36.4,31.3,41.5,19.29
,37.7,33.1,42.4,20.40
,43.6,38.0,49.1,12.89
,49.0,40.0,58.0,7.55
,56.6,45.6,67.6,6.84
,63.1,52.1,74.1,1.36
,59.6,49.3,69.9,1.34
,53.4,44.8,62.0,3.36
,51.0,41.5,60.5,3.17
,45.0,35.4,54.7,5.44
,39.8,32.2,47.4,15.24
,40.5,33.8,47.1,9.98
,38.2,33.8,42.7,22.31
,38.4,33.3,43.5,23.40
,44.4,37.5,51.2,12.82
,49.9,40.5,59.2,7.77
,56.0,44.9,67.0,4.76
,59.8,48.4,71.2,0.20
,59.5,48.2,70.8,0.52
,56.6,45.7,67.5,1.22
,50.6,39.7,61.5,2.29
,43.6,34.9,52.3,9.49
,43.4,33.7,53.1,6.09
,44.9,35.4,54.4,7.55
,39.7,34.2,45.2,20.32
,41.7,36.2,47.2,14.81
,44.6,36.4,52.7,7.51
,49.9,40.5,59.3,6.84
,57.9,48.8,67.0,7.00
,59.1,47.7,70.6,0.70
,59.2,48.7,69.7,0.60
,59.4,51.0,67.7,4.02
,53.2,42.1,64.4,4.15
,45.7,37.0,54.5,5.16
,43.0,32.6,53.3,4.59
,38.2,31.2,45.2,7.74
,32.2,27.2,37.2,17.93
,37.0,32.1,41.8,17.91
,44.8,38.3,51.2,14.72
,49.7,41.2,58.2,10.52
,58.8,48.4,69.1,5.03
,60.2,50.0,70.4,5.78
,61.4,50.2,72.6,0.95
,55.6,45.4,65.7,6.00
,51.6,41.6,61.6,4.54
,44.8,35.3,54.2,5.18
,45.2,37.3,53.2,11.87
,45.9,36.5,55.2,13.01
,39.1,33.2,44.9,13.12
,38.8,34.2,43.4,12.70
,45.4,38.0,52.8,8.11
,52.4,44.3,60.4,14.45
,61.3,48.6,74.1,2.76
,63.8,51.0,76.7,0.18
,60.7,48.5,72.8,0.23
,57.8,48.4,67.3,1.70
,50.9,40.6,61.2,1.52
,42.5,32.3,52.7,5.65
,40.5,33.1,47.9,11.43
,41.4,34.2,48.6,7.82
,41.4,36.8,46.1,21.43
,42.8,38.6,46.9,20.12
,45.1,38.1,52.0,11.36
,50.9,41.6,60.1,7.49
,59.6,48.8,70.5,2.91
,60.2,48.4,72.1,1.00
,59.5,49.5,69.6,1.21
,55.3,44.6,66.0,2.18
,50.0,38.9,61.0,2.47
,47.6,38.3,57.0,3.40
,41.7,33.2,50.2,12.76
,40.4,33.7,47.2,7.66
,39.4,34.0,44.7,14.34
,37.7,32.3,43.2,14.94
,46.4,40.5,52.3,14.94
,53.4,44.0,62.6,5.12
,56.9,45.8,67.9,0.59
,61.9,51.4,72.3,2.29
,60.2,48.9,71.4,0.59
,54.1,44.0,64.2,1.16
,48.7,39.7,57.7,3.46
,46.9,37.7,56.2,5.42
,44.3,32.7,55.9,1.33
,41.0,35.6,46.3,8.39
,38.7,33.0,44.4,21.59
,36.7,31.6,41.7,19.55
,40.9,33.8,48.0,15.39
,52.0,42.0,62.1,3.18
,56.9,46.4,67.5,3.22
,59.4,48.9,69.9,2.84
,59.2,49.1,69.2,2.55
,54.2,44.9,63.5,3.17
,48.4,38.5,58.3,2.59
,43.8,34.9,52.7,4.62
,41.3,34.0,48.6,11.22
,39.8,31.5,48.1,4.94
,40.3,35.1,45.5,25.97
,41.2,35.2,47.1,9.34
,44.3,38.3,50.3,17.11
,52.4,44.5,60.2,11.04
,60.8,50.0,71.7,3.51
,60.7,51.3,70.1,2.74
,59.2,49.5,68.8,2.37
,54.7,45.7,63.6,2.58
,52.1,41.5,62.7,2.99
,45.7,37.3,54.2,7.48
