date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,31.2,18.8,43.6,0.19
,40.1,28.5,51.7,0.38
,46.7,30.0,63.5,0.38
,58.0,42.3,73.6,0.66
,59.6,47.7,71.4,2.62
,64.1,47.4,80.7,0.17
,52.5,37.6,67.5,0.71
,49.8,34.0,65.6,0.37
,39.9,28.4,51.4,1.60
,34.1,23.6,44.7,0.62
,31.6,22.3,41.0,1.26
,31.5,22.9,40.1,1.80
,33.0,24.4,41.5,2.08
,34.4,24.8,44.1,1.05
,45.6,35.6,55.6,1.83
,57.4,38.8,76.0,0.03
,59.5,43.8,75.3,1.27
,66.5,51.5,81.4,1.54
,54.3,40.2,68.3,0.98
,47.9,33.6,62.2,0.22
,35.6,25.0,46.3,0.71
,33.0,23.7,42.3,1.65
,30.7,22.3,39.1,1.88
,29.8,21.0,38.5,1.56
,30.8,22.8,38.9,1.78
,37.3,27.7,46.9,0.76
,45.9,29.5,62.3,0.44
,58.3,38.9,77.7,0.00
,63.1,46.0,80.3,0.18
,62.7,46.4,79.0,0.79
,61.0,43.9,78.2,0.33
,46.4,33.4,59.4,0.63
,40.8,29.4,52.2,1.01
,36.1,26.5,45.7,2.46
,33.4,24.5,42.3,0.98
,25.6,17.6,33.6,0.93
,34.1,28.3,39.8,2.16
,33.8,28.1,39.4,4.36
,45.3,32.1,58.4,1.33
,56.0,41.2,70.8,1.24
,62.4,44.9,79.9,0.39
,65.2,46.9,83.4,0.09
,57.3,41.5,73.0,0.02
,51.7,36.7,66.7,1.42
,41.2,27.6,54.8,0.60
,35.4,25.0,45.8,0.58
,34.1,25.7,42.6,0.80
,26.8,18.9,34.6,0.81
,22.5,13.7,31.4,1.78
,35.8,28.5,43.1,0.89
,44.4,30.8,57.9,1.06
,51.5,36.3,66.7,0.47
,64.6,47.4,81.8,0.26
,64.3,47.2,81.3,0.21
,57.9,42.1,73.6,0.99
,50.6,35.7,65.4,1.37
,38.9,26.8,50.9,0.61
,40.3,29.2,51.3,2.26
,33.4,24.4,42.4,0.65
,26.3,17.9,34.7,1.66
,26.7,19.4,34.0,2.09
,35.7,26.6,44.9,1.93
,42.8,29.7,55.9,0.96
